latitude,longitude,fips,name
46.8684561,-114.0094148,50200,Missoula
46.4058818,-105.838503,49525,Miles City
48.21553772,-114.3261804,40075,Kalispell
48.54275568,-109.6804982,35050,Havre
45.99630475,-112.5422509,11397,Butte
45.68277518,-111.0547662,8950,Bozeman
46.59642057,-112.0196973,35600,Helena
45.78888543,-108.5502767,6550,Billings
47.5021616,-111.2994842,32800,Great Falls
