Year,County Id,County Name,"Horses, Mules and Asses",Cattle,Domestic Bison,Sheep,Swine,Goats,Poultry,Honey Bees,Alternative Livestock,Ratites,Llamas and Alpacas
2017,1,SILVER BOW,452,3476,,248,1,7,176,,,,18
2017,2,CASCADE,2008,43202,,4378,12339,253,105578,18,295,16,39
2017,3,YELLOWSTONE,2547,56591,89,1921,1654,343,17951,5477,,2,58
2017,4,MISSOULA,1361,4077,12,454,59,146,852,808,,4,39
2017,5,LEWIS AND CLARK,1952,23756,90,2305,1089,374,39303,1112,,1,43
2017,6,GALLATIN,3448,25742,1481,1323,142,470,3369,1036,,,191
2017,7,FLATHEAD,2335,4931,200,248,556,182,1347,253,97,38,155
2017,8,FERGUS,1705,91363,26,3695,223,60,1360,20,,2,52
2017,9,POWDER RIVER,1358,68485,8,9354,9,430,412,810,,,14
2017,10,CARBON,1262,28303,5,2931,93,139,702,4487,3,,48
2017,11,PHILLIPS,925,71087,590,3069,31,76,363,,,3,11
2017,12,HILL,724,18278,,726,7319,38,30822,3,84,,12
2017,13,RAVALLI,2977,17080,291,1001,150,376,2848,31,23,48,230
2017,14,CUSTER,971,66190,,3784,20,471,415,379,,,38
2017,15,LAKE,1714,20361,,792,92,59,835,4810,,,45
2017,16,DAWSON,785,38411,,2016,7,81,392,520,,,4
2017,17,ROOSEVELT,358,17501,15,1596,30,67,205,1300,,,2
2017,18,BEAVERHEAD,1357,111348,258,9921,1,70,443,1,,4,13
2017,19,CHOUTEAU,1057,40253,10,325,631,70,6342,458,,,
2017,20,VALLEY,684,62190,,848,66,9,356,,,,5
2017,21,TOOLE,549,15678,,1481,4489,15,31064,35,,,
2017,22,BIG HORN,1316,62992,,586,30,152,314,128,,,7
2017,23,MUSSELSHELL,912,26683,,2030,69,169,549,6,7,,16
2017,24,BLAINE,725,61706,18,1498,2803,65,9322,5200,,,13
2017,25,MADISON,1888,53569,2435,1253,19,42,817,500,,,5
2017,26,PONDERA,600,18838,1,3244,14436,34,74697,1505,,,42
2017,27,RICHLAND,459,36432,,1870,12,17,350,,18,,3
2017,28,POWELL,1010,30155,108,359,4,32,479,,,,7
2017,29,ROSEBUD,1114,65944,20,1457,148,67,398,3600,,,6
2017,30,DEER LODGE,245,3807,,240,5,46,121,4,,,16
2017,31,TETON,1415,43062,730,2670,2357,601,37564,450,6,,26
2017,32,STILLWATER,1242,31057,132,8026,43,672,427,2736,,1,15
2017,33,TREASURE,283,20486,,33,,8,100,,,,
2017,34,SHERIDAN,311,17756,,937,25,15,112,,,,10
2017,35,SANDERS,687,8037,120,47,43,31,4986,4612,,1,14
2017,36,JUDITH BASIN,700,56910,1,6263,28,45,1152,,,,8
2017,37,DANIELS,319,13332,,103,30,3,172,,,,2
2017,38,GLACIER,385,13263,66,718,9705,219,185684,68,,,5
2017,39,FALLON,657,39166,,1680,40,61,512,3048,,,4
2017,40,SWEET GRASS,1171,30211,100,3918,30,36,422,1112,,,3
2017,41,MCCONE,846,32254,,3330,2832,33,648,36,,,8
2017,42,CARTER,943,64736,69,18881,47,35,328,1811,,2,6
2017,43,BROADWATER,686,16601,34,2043,205,19,340,1006,,,2
2017,44,WHEATLAND,487,32902,1,9703,8260,128,27373,1924,,,7
2017,45,PRAIRIE,374,35469,,1513,18,41,174,380,11,,4
2017,46,GRANITE,592,15164,,656,5,28,112,,,,3
2017,47,MEAGHER,495,40049,30,2824,973,5,14354,,,,1
2017,48,LIBERTY,161,10936,92,66,9900,1,19806,,,,6
2017,49,PARK,2542,25456,22,1145,214,141,1549,2534,,2,120
2017,50,GARFIELD,1125,63664,244,10609,35,7,268,1,,,
2017,51,JEFFERSON,1087,21983,,725,326,120,622,14,27,,14
2017,52,WIBAUX,433,19656,71,38,,1,217,6,,,
2017,53,GOLDEN VALLEY,363,14633,,12631,2007,522,23971,1383,,,7
2017,54,MINERAL,286,326,,,3,3,70,70,,,3
2017,55,PETROLEUM,227,23539,,1346,,,70,40,,,
2017,56,LINCOLN,917,1918,,153,1,30,870,1512,,6,11
,TOTALS,,57532,1880995,7369,155011,83654,7165,654085,55244,571,130,1411
